path,主单元,槽位,基线指纹,文件类型,审查状态,入口/消费者,证据,发现ID或无发现理由
.agent/PLANS.md,R16,F6,87d343026d77350fc45df5b2b53603bcd1624516,md,已审(W1),,,units/F6.md
.agent/TASKS.md,R16,F6,9e7dd012ee89296dd3341a664c48e0773e691e60,md,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260909-persistent-task-memory/TASK.md,R16,F6,6d9e58ba4a2c60d214840c03e00a073eb9f96c66,md,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260909-world-library-review/TASK.md,R16,F6,1c03a04dc15369f254c1a4edd835e94415030001,md,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260910-agent-main-integration/TASK.md,R16,F6,6c603fc7c05a671955a8e89abeef2d7f88d8f491,md,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260910-world-library-completion/TASK.md,R16,F6,cbd064ac2f13ac6a0b8e418b3f06292b1e9eaceb,md,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260911-chrome-ux-audit/TASK.md,R16,F6,fb5e67649fc412b864bc971d870dd56d946130b8,md,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260911-chrome-ux-audit/artifacts/qa-upload-grid.png,R16,F6,07af9f79c3ca4b214d1faaad605a2394cf28e85b,png,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260911-guimi-ux-fixes/TASK.md,R16,F6,002595f7d9b0f9477b04a66def5c9a9701aa5f6b,md,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260911-guimi-ux-fixes/artifacts/integrity_snapshot.py,R16,F6,f9e0d380d2b9bdb221c5dbcfdb2ef90ffaf4ee1b,py,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260911-guimi-ux-fixes/artifacts/run_acceptance.py,R16,F6,ceb0c004e017286fb56aaad2bfc1c6259769b6be,py,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260911-import-review-resolution/TASK.md,R16,F6,c2862662c5c57622e6f0f2a596397a399f419dfc,md,已审(W1),,,units/F6.md
.agent/tasks/2026/T-20260911-import-review-resolution/artifacts/VALIDATION.md,R16,F6,5a7f6794a0516a06cb68f27a0d352272eccad0d5,md,已审(W1),,,units/F6.md
.agent/tasks/agent-capabilities.md,R16,F6,9d303146d2e5c014e6b573b4711093965229ac4c,md,已审(W1),,,units/F6.md
.agent/tasks/agent-capability-inventory.json,R16,F6,2f5ad8d42b6414067ce0160d22b8fd721288be65,json,已审(W1),,,units/F6.md
.agent/tasks/agent-integration.md,R16,F6,68f244e9676de597431359e3ce9d53bd5b3b47d6,md,已审(W1),,,units/F6.md
.agent/tasks/code-simplification-audit.md,R16,F6,355f30185657eeea2d4d9e651217ca55e590f5c7,md,已审(W1),,,units/F6.md
